Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	
"Japan"	124065	128656	156288	190117	234227	263084	246910	330462	232841	272219	296413	331762	409236	375472	334814	354380	411758	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	279612	268662	307872	424555	460474	395264	
"Albania"	73205	78789	114426	161028	191140	214241	294508	305737	273110	241066	270630	255950	266544	318541	287395	304606	387618	
"Slovakia"	27565	32527	59918	108605	122712	170167	284205	306631	217408	454744	402151	391760	436115	472278	545756	384271	387026	
"Brazil"	89818	48806	50165	69355	103458	121882	229914	318027	388207	614551	883471	1002759	936096	794186	458367	333741	385024	
"Macedonia, The Former Yugoslav Republic of"	89816	100500	122715	149330	162476	172756	271744	296172	283464	262621	298861	274497	293976	347965	324636	378004	360589	
"Pakistan"	31186	57339	70354	86400	187554	129598	157038	155065	162514	248147	213672	276127	285901	259317	289155	346896	352356	
"Bosnia and Herzegovina"	27586	42919	63227	99938	128217	150862	445173	572349	226567	224299	268942	251523	274086	322022	292474	308962	348876	
"Kyrgyzstan"	17350	23967	40862	74702	89529	132172	181311	191351	140002	129202	180241	257470	388336	421431	294702	308933	343655	
"Ethiopia"	32315	32317	50739	77719	109378	91949	145964	163777	229030	174843	275492	394619	364525	329177	383596	404420	338605	
"Nigeria"	69023	62379	66347	80213	98558	83009	133269	280527	257481	250602	393837	438767	412666	439829	313984	241604	335611	
"Croatia"	30111	42653	85598	118060	167991	213883	355520	328678	214705	249148	241816	200575	201597	287401	251635	277925	314198	
"Lithuania"	32586	52660	85668	122531	149315	167388	236479	231397	151505	208277	274194	275950	403348	350974	300249	258595	301895	
"Finland"	71142	135499	214069	256331	296561	359279	412410	367128	196465	296774	352886	301593	297972	329424	266063	292056	297476	
"Bangladesh"	15273	15384	40333	33129	90727	91992	63017	69528	133819	169522	132200	214168	195536	148511	199890	263777	294509	
"Malaysia"	35281	152259	227270	52453	57250	59929	82810	98224	139110	224843	182587	165474	272073	315024	357083	321564	286275	
"Moldova, Republic of"	27816	39453	46794	66352	81108	107377	145752	198468	118090	148209	208885	224464	275971	286741	201645	262383	284781	
"Chile"	19920	19772	15528	24529	24959	34788	41843	150267	37435	81222	130616	174852	219338	198579	187919	217157	254895	
"Senegal"	13411	19078	26676	25520	34951	40437	65108	90008	95267	83314	155021	128374	119333	165625	128206	154371	243680	
"Viet Nam"	13240	25513	24677	33839	44003	45392	76720	153908	189112	106203	100090	90104	107299	168145	155449	233875	237346	
"Indonesia"	32418	28305	46971	54119	80797	84949	173736	284426	248791	250772	307971	243621	230995	227583	207001	253636	236665	
"Bahrain"	11159	16908	28856	54416	41915	35303	76651	308223	113628	172024	160418	208520	199065	204085	225298	193281	227303	
"Ghana"	17736	21878	36867	31779	31602	32966	84126	100366	72851	96484	218560	223502	179018	175355	219599	298469	224520	
"Oman"	30682	31163	22484	29111	39959	71000	91831	215755	105518	129311	214651	268460	373988	491049	324914	243798	221444	
"Taipei, Chinese"	67457	229397	130160	162542	77586	80030	94701	97448	129931	137051	163740	119462	117858	132864	157067	138694	204463	
"Iceland"	3209	2646	9790	9812	17788	21671	10653	11122	6246	7454	13746	15996	13869	18099	67508	26706	199722	
"Panama"	28731	22913	19731	36598	83798	77883	117420	228088	94975	140632	217072	225062	230397	208399	166125	95976	197853	
"Angola"	8364	10951	13890	22287	26846	44657	47758	182248	151698	109119	220581	234516	263819	287595	195884	128864	186633	
"Colombia"	10528	7730	16620	26293	45371	51664	79221	74614	36044	52863	111367	152131	124632	183110	185914	185125	184300	
"Afghanistan"	6983	20232	36489	70945	113401	91106	109270	136982	235203	259791	275969	289915	228231	186185	161634	145591	172185	
"Thailand"	37301	45067	108489	123616	51475	61486	63021	100300	131632	220005	125189	176360	223994	210538	174099	163889	165746	
"Argentina"	22800	2378	10808	19910	37799	44396	64496	107099	73734	179216	214104	316482	318181	141320	118307	126870	159619	
"Tajikistan"	15553	10893	29478	41637	46717	71787	118107	176448	126364	143890	172575	234947	283620	277384	162783	151621	156134	
"Marshall Islands"	0	1140	9304	58328	117972	100359	214984	274641	108602	80521	142245	83354	119456	207058	79258	116824	155127	
"Kenya"	10441	8113	13134	17837	50600	85419	98044	233052	70094	86360	199203	138001	129604	118157	131265	127770	152280	
"Gibraltar"	14269	40503	52425	102465	40908	240240	149258	39051	169538	151858	171115	109526	117754	155887	18521	70451	143209	
"Somalia"	198	399	220	758	2207	2020	2320	8422	3546	4810	39548	43751	58315	62119	71035	115887	143026	
"Côte d'Ivoire"	8618	15590	14025	14296	26601	29853	32322	39436	59522	47926	65773	76563	85349	93170	115498	109879	141345	
"Philippines"	12787	15324	27402	36115	30571	43438	40246	97423	84133	70803	100612	144196	135610	138095	103874	106683	132960	
"Latvia"	16108	20247	26707	38366	81390	77390	105390	104295	64952	65958	115955	127367	151176	193298	173117	196893	127566	
"Liberia"	8917	2165	19871	46764	47596	9540	100396	158937	177140	67460	61254	104369	109784	103960	79860	64599	118639	
"Tanzania, United Republic of"	2803	3839	5995	7496	23019	27360	30216	52636	55281	89319	170772	130560	140669	151823	116380	95556	115833	
"Peru"	8889	14327	7336	6954	7211	9356	15305	124633	61947	159272	286800	246410	275565	287976	197098	86191	108578	
"Estonia"	13169	18058	23183	35521	57256	74755	81762	239707	105984	90324	132005	168679	197359	177612	117825	171577	105806	
"New Zealand"	12476	16232	20682	34889	42961	38012	50942	63655	56591	64153	67787	67923	71653	87641	90100	95659	104038	
"Djibouti"	6840	3770	5363	8573	7128	10559	45388	40274	42282	30788	45491	88690	67091	59712	98249	77898	102506	
"Cameroon"	8903	15375	19615	21076	16897	14815	24385	32535	50261	48613	105490	115651	101989	110730	83320	66553	98000	
"Guinea"	4786	6111	7513	7520	12156	17076	18182	26942	13472	27689	39184	54748	126860	66295	65037	62300	95758	
"Benin"	4049	4943	5400	5072	5186	6003	37146	25434	28587	116690	86572	79062	127437	99616	79920	84307	92928	
"Palestine, State of"	5999	4668	6489	9025	9401	21154	21247	20690	29523	40305	49092	62696	75507	90945	82224	94372	87493	
"Mauritania"	4355	11636	4294	5529	10065	8910	10990	15173	22813	37444	75555	110737	103806	91796	97159	73206	86835	
"Haiti"	9612	11146	7925	7488	4613	5881	6705	10132	11771	20612	22795	20690	25717	22488	22582	21751	86278	
"Madagascar"	2768	4116	5419	11787	9354	8963	10607	22268	19296	27013	51213	56817	59689	54066	53746	59338	73247	
"Sri Lanka"	13286	16088	29047	29858	53099	37085	44596	34864	31510	32035	42081	37405	36713	51965	51180	51636	70914	
"Dominican Republic"	18995	14981	3755	17463	5998	7728	6905	48181	24347	29953	42096	45031	45926	66070	40357	40379	68065	
"Mauritius"	1409	1398	2197	4166	5996	8147	22719	30665	18510	22496	44543	35550	40347	37802	34295	35521	65164	
"Montenegro"	0	0	0	0	0	7752	19861	48494	26483	27179	26966	29131	29140	35040	38304	51806	60302	
"Togo"	1504	8112	2499	6199	5193	8153	12816	17521	31771	30548	60000	254939	89056	54418	45087	34139	58168	
"Congo"	3772	6304	5279	9310	15960	14738	19267	28255	39965	45431	78220	92129	92871	97600	126420	103356	57400	
"British Virgin Islands"	6189	4737	4279	6928	31735	38998	65561	81673	195043	74652	17926	34011	63890	18723	11418	36235	56079	
"Namibia"	577	661	487	519	310	811	1392	3212	1484	3458	2229	3995	3022	9597	83690	40903	55438	
"Area Nes"	0	0	0	0	0	88232	633332	1121746	446056	11316	9871	5487	6163	112940	78049	66321	53163	
"Mali"	2608	3391	4970	6373	10000	7667	12140	8949	8870	9925	18084	19283	20751	33548	30383	64705	52204	
"Costa Rica"	14245	5856	3285	7597	3461	9637	10114	9975	7288	7554	10195	20312	34842	48928	48025	46908	51837	
"Jamaica"	11495	11656	16005	19230	13260	22147	15490	37846	16559	22751	21928	41776	35819	46276	18352	17415	51050	
"Trinidad and Tobago"	2292	2744	3292	4220	4055	8124	8578	26722	19452	24954	24141	36220	43052	50125	35347	30197	50691	
"Sierra Leone"	1717	1303	4624	6685	5376	6620	10649	15300	15729	24464	25642	35865	47323	45650	43956	39678	50562	
"Rwanda"	527	337	318	811	241	981	2808	4168	7547	7993	5946	19935	9761	38373	30322	29540	42592	
"Uruguay"	4535	2109	1601	1671	3054	3777	8337	14462	10545	31676	30079	45594	44084	49654	45889	37099	41548	
"Gabon"	1853	4395	2567	3306	4709	6109	22775	13228	13946	18906	29972	52512	93876	57251	66285	23965	40221	
"Nepal"	407	1255	824	1027	4502	2682	1246	843	5104	8605	14235	3231	3347	21931	47247	10005	39885	
"Maldives"	16	175	462	974	2008	1722	1397	1658	6639	7492	7908	7137	5928	7818	18208	35651	39656	
"Guatemala"	8917	2981	5519	4790	6253	12416	9962	15465	10022	16308	25218	27623	19748	20713	24306	30792	38554	
